Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2010-01-04,84.5784683227539,84.62324465317812,83.22019792613303,83.86201856678387,118944600
2010-01-05,84.80236053466797,84.8396779413871,84.22024543040534,84.52623222275905,111579900
2010-01-06,84.86207580566406,85.07103964196251,84.65311196936561,84.72027647653118,116074400
2010-01-07,85.22032928466797,85.32481123431688,84.46656176748147,84.70537846579887,131091100
2010-01-08,85.50390625,85.5412236652143,84.8247737050373,84.99642014981153,126402800
2010-01-11,85.62334442138672,85.92186106187337,85.25765185726267,85.8845493287325,106375700
2010-01-12,84.82476806640625,85.23523113728774,84.49639305463084,85.05612008260923,163333500
2010-01-13,85.5412368774414,85.78005356772005,84.60835829137811,85.04120962799382,161822000
2010-01-14,85.77252960205078,85.92925241281826,85.39191380799542,85.44415474491791,115718800
2010-01-15,84.8098373413086,85.70539829288457,84.48146233527316,85.62331023521338,212283100
2010-01-19,85.86958312988281,85.92182408887219,84.7725172972687,84.79491116012485,139172700
2010-01-20,84.99639892578125,85.41432654139966,84.31726655040133,85.28745647149218,216490200
2010-01-21,83.36198425292969,85.279981387605,83.25750236184511,85.01877665989359,344859600
2010-01-22,81.50371551513672,83.39186039646722,81.41415714318863,82.98885626345728,345942400
2010-01-25,81.92162322998047,82.3992620701188,81.65295956729226,82.24999815325174,186937500
2010-01-26,81.5783462524414,82.44406011681994,81.37684702888447,81.60073442241021,211168800
2010-01-27,81.96644592285156,82.15302164113513,80.84699161315025,81.47388329354024,271863600
2010-01-28,81.02608489990234,82.2798736789542,80.53352807268794,82.23509733843593,316104000
2010-01-29,80.14543914794922,81.94403122305579,80.0185690671046,81.37683962879416,310677600
2010-02-01,81.39176940917969,81.39923403034138,80.22753903681306,80.71263692324504,187865000
2010-02-02,82.37686920166016,82.53359204587582,81.25741543397433,81.54101403250996,216327900
2010-02-03,81.96644592285156,82.45154392915661,81.72762923120219,82.00375765020485,172730700
2010-02-04,79.43644714355469,81.36936806123416,79.42151790364919,81.3320563491439,356715700
2010-02-05,79.60063171386719,79.76481348997739,78.04832106289004,79.52599690473757,493585800
2010-02-08,79.0259780883789,80.1006556031368,78.96627251670643,79.66033412934812,224166900
2010-02-09,80.0185546875,80.71261623788105,79.30956389862169,79.95138450193477,337820500
2010-02-10,79.86186218261719,80.30217809032912,79.19018854100392,79.89171497711537,240511500
2010-02-11,80.69770050048828,80.78725886494672,79.29465362032877,79.75736329594172,223591600
2010-02-12,80.63053894042969,80.67531527737461,79.48869679763517,79.84691888086931,304622100
2010-02-16,81.89924621582031,81.98133995781451,80.46634658183653,81.24250197370367,159317500
2010-02-17,82.287353515625,82.39930008145791,81.89927284658275,82.29481244453203,168845100
2010-02-18,82.77243041992188,82.94407684248087,82.12314505855818,82.15299784809831,193708600
2010-02-19,82.94406127929688,83.26497158934262,82.36194622708281,82.55598647576628,222684900
2010-02-22,82.95903015136719,83.27247599171605,82.71274883659062,83.25008781652528,132346900
2010-02-23,81.95149230957031,82.98885253927342,81.73506385745304,82.73511237089707,207497000
2010-02-24,82.70526885986328,82.83960357990854,81.98881891756787,82.19778277234094,176350700
2010-02-25,82.59330749511719,82.65301306972455,81.30220718379572,81.52609454781783,259634700
2010-02-26,82.64559173583984,82.92919051684382,82.17542290068478,82.66797991458438,173589300
2010-03-01,83.5038070678711,83.58590081882517,82.96646822302178,82.98885639258422,147709700
2010-03-02,83.73516845703125,84.1381726358058,83.5859101806725,83.86204425515828,160992400
2010-03-03,83.80982971191406,84.30985135858063,83.60086008775603,83.95162341100693,150785000
2010-03-04,84.06352233886719,84.18293348496906,83.60827730856826,83.92172302633043,135770400
2010-03-05,85.26508331298828,85.33224782281854,84.40683407085149,84.60833898801774,176118800
2010-03-08,85.28001403808594,85.46658972843198,85.13075576334437,85.2725551100356,114631200
2010-03-09,85.42179870605469,85.81733819060545,84.98148288554339,85.02625922150393,154556700
2010-03-10,85.8023910522461,86.0337429828827,85.38446351462238,85.45909261865009,186088800
2010-03-11,86.16065216064453,86.18304602647555,85.33972025582622,85.60092508547228,160791100
2010-03-12,86.16810607910156,86.54872203721467,85.9292894511132,86.53379279518178,162074800
2010-03-15,86.1905288696289,86.25023447406814,85.52631967830196,86.0188823741659,146816800
2010-03-16,86.87711334228516,86.9592014135234,86.19051042583884,86.4293270986519,168673000
2010-03-17,87.39203643798828,87.67563508015823,86.88455042413578,87.13829627798061,177468100
2010-03-18,87.34725952148438,87.51890593591568,86.99649637829368,87.39950047724656,196509100
2010-03-19,86.9051284790039,87.89430448886382,86.56790587639969,86.9051284790039,226641100
2010-03-22,87.3697280883789,87.52710204895554,86.35807182876417,86.4105279098617,184477800
2010-03-23,87.98423767089844,88.05917412639091,87.21237559919918,87.49714213426971,182941600
2010-03-24,87.55705261230469,87.99918724106368,86.61284336218446,87.65447511077305,196072600
2010-03-25,87.41468048095703,88.55372908059464,87.30976833562,88.1490654983162,223396300
2010-03-26,87.36222839355469,87.99170129429196,87.01751622639617,87.57954805231876,205808500
2010-03-29,87.91679382324219,88.07416210026808,87.44468899216453,87.80438627757077,134513500
2010-03-30,87.97675323486328,88.29898517905136,87.60956055525365,88.02171397028485,145772500
2010-03-31,87.6769790649414,88.06665201184715,87.38472292544101,87.63950798355548,161078700
2010-04-01,88.27650451660156,88.61372146570898,87.75193783019631,88.27650451660156,161215200
2010-04-05,88.99588012695312,89.05582585155518,88.36640142171598,88.61369683153357,105847600
2010-04-06,89.20569610595703,89.36306433821444,88.6436642547733,88.74108105075636,110384200
2010-04-07,88.6961441040039,89.44552010642552,88.28398501575796,89.02587137460067,184576300
2010-04-08,89.00336456298828,89.15324315893675,88.12659621650414,88.38887661280916,158704000
2010-04-09,89.58792877197266,89.62539415234296,89.02589661083678,89.19075457558239,133006500
2010-04-12,89.73027801513672,89.96258845609707,89.5953901103899,89.7003022899391,110279000
2010-04-13,89.7977294921875,89.9550977696884,89.17574602590875,89.6403612146866,125043600
2010-04-14,90.81684875488281,90.81684875488281,89.98504121698905,90.127418721396,161609000
2010-04-15,90.89181518554688,91.10163954953345,90.63702437407382,90.66700009996977,144615300
2010-04-16,89.44550323486328,90.89179887542241,88.98838350222701,90.56956702647035,366786700
2010-04-19,89.78276062011719,89.87268782226792,88.77859925722399,89.1832630909723,217947800
2010-04-20,90.58455657958984,90.6594987432898,89.8276910383229,90.3447565206894,157708000
2010-04-21,90.41968536376953,90.84682933442429,89.9175992404553,90.6369993111747,192910100
2010-04-22,90.6894760131836,90.80188355045414,89.2656662653729,89.78273178916164,115360300
2010-04-23,91.28147888183594,91.31894996470713,90.39721506855041,90.62952549123965,177335500
2010-04-26,90.93675231933594,91.51377488785738,90.84683088226615,91.31144021988308,143457300
2010-04-27,88.78607177734375,90.9292818963118,88.61371278022071,90.4122163395131,355853300
2010-04-28,89.46049499511719,89.68531005733676,88.62868726910311,89.2132052874171,300674100
2010-04-29,90.56958770751953,90.75693171556631,89.97757995601744,90.0000603222174,193775000
2010-04-30,89.03336334228516,90.68199402101925,89.01088297639131,90.58457147909883,270000900
2010-05-03,90.18739318847656,90.43468862069582,89.32560971446937,89.46049761229035,182747900
2010-05-04,88.06668090820312,89.19824047338935,87.61705637046325,89.1832554662887,360353400
2010-05-05,87.54208374023438,88.27647456511461,86.90511543176864,87.3472444246892,328973200
2010-05-06,84.63451385498047,87.67697810321934,78.68446752853018,87.1224415519531,647356600
2010-05-07,83.3755874633789,85.25651737996348,81.9892428055985,84.40972443526833,637558800
2010-05-10,87.0475082397461,87.41470083391997,86.11078835450753,86.78522209805173,396159600
2010-05-11,86.80020904541016,87.94675322034588,86.11078461198639,86.23068177909808,317849800
2010-05-12,88.01422882080078,88.1416271147534,86.99507677289856,87.14495543717032,235607100
2010-05-13,86.9201431274414,88.18659072463238,86.84520665151061,87.77443153108305,234452500
2010-05-14,85.3464126586914,86.42551568136602,84.58205182915277,86.26814744343996,345601400
2010-05-17,85.39137268066406,85.8185166707662,83.75773315904318,85.57871663627525,325739800
2010-05-18,84.2298812866211,86.3431218230873,83.9526100499908,86.0883309564269,360556800
2010-05-19,83.75028228759766,84.50714810219674,82.70115450704785,83.75777193284493,394742700
2010-05-20,80.58787536621094,82.34890737784367,80.53541928815494,81.96672411355928,530418300
2010-05-21,81.76441192626953,81.96674092103537,78.95425206000314,79.36641112730284,500909400
2010-05-24,80.71527099609375,81.97422263529519,80.6403345555916,81.32226359663025,269823000
2010-05-25,80.79774475097656,80.8352158493269,78.21988869467738,78.76693585724297,396505200
2010-05-26,80.3106460571289,82.03421360565913,80.0708459015956,81.29233276780403,349719300
2010-05-27,83.00091552734375,83.03089126359028,81.51714802821921,81.8243950367809,300870500
2010-05-28,81.95928192138672,82.97093870803145,81.56960307255554,82.91098723632096,297933500
2010-06-01,80.58039093017578,82.39387926568824,80.46049375720268,81.19487894953474,277909400
2010-06-02,82.67866516113281,82.68615480556701,80.56542482166567,80.99256896313395,240243700
2010-06-03,82.96341705322266,83.22569751222929,82.11662422349117,82.91845632233158,226618300
2010-06-04,80.0483627319336,81.92929853078138,79.77858685172887,81.38974677037194,398475600
2010-06-07,79.05167388916016,80.64035309250372,78.99172815334899,80.33310618334852,264609100
2010-06-08,79.8984603881836,80.05582864085729,78.42218895278384,79.11161340753078,357774300
2010-06-09,79.47132110595703,81.14242625851112,79.13409850096508,80.36307459109037,268023300
2010-06-10,81.79438018798828,81.8917969962413,79.46382069415576,80.82768459611988,317890600
2010-06-11,82.19154357910156,82.24399965998832,81.02251908089139,81.07497516177814,214128200
2010-06-14,82.06417846679688,83.2706744474579,81.98174663825836,82.82104421278017,207196100
2010-06-15,83.93009185791016,84.00502829646939,82.49878129710851,82.6411645324697,238268700
2010-06-16,83.90010833740234,84.24482049654806,83.33058116620002,83.49544474607043,216374000
2010-06-17,84.0350341796875,84.17741746615711,83.21821698681325,84.13994637478537,263185800
2010-06-18,84.12612915039062,84.42730105752388,83.85506983838197,84.20142212717393,174006600
2010-06-21,83.88518524169922,85.23294498905588,83.41835961080585,85.17271405642907,213140700
2010-06-22,82.4997329711914,84.2540866210936,82.37926541609248,83.8851471939691,239355400
2010-06-23,82.24375915527344,82.84610859059451,81.67905332838728,82.55246202017248,254639900
2010-06-24,80.88092803955078,81.94257770138759,80.67010545990546,81.83716641156494,268523600
2010-06-25,81.21981048583984,81.63392490908102,80.39157015038072,81.12192440374646,238726500
2010-06-28,80.96378326416016,81.55860762600659,80.6701365942531,81.3402539429627,169218600
2010-06-29,78.4639892578125,80.94869711961742,77.96705113214225,79.82681077438353,373649500
